aggregation,city_bounded,city_name,formatted_value,id,route_id,route_type,sample_period,type,value,version
route,False,Chicago,50.0,1,205,0,morning,num_stops,50.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,50.0,2,34,0,morning,num_stops,50.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,88.0,3,67,0,morning,num_stops,88.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,18.0,11,124,0,morning,num_stops,18.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,45.0,12,84,0,morning,num_stops,45.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,111.0,13,8,0,morning,num_stops,111.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,62.0,4,93,0,morning,num_stops,62.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,48.0,5,147,0,morning,num_stops,48.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,47.0,6,Brn,0,morning,num_stops,47.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,66.0,7,12,0,morning,num_stops,66.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,35.0,457,63W,0,night,num_stops,35.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,72.0,8,66,0,morning,num_stops,72.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,47.0,15,54B,0,morning,num_stops,47.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,105.0,458,30,0,night,num_stops,105.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,40.0,9,51,0,morning,num_stops,40.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,72.0,16,78,0,morning,num_stops,72.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,98.0,17,62,0,morning,num_stops,98.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,102.0,18,4,0,morning,num_stops,102.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,78.0,10,53A,0,morning,num_stops,78.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,64.0,14,73,0,morning,num_stops,64.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,34.0,19,88,0,morning,num_stops,34.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,56.0,81,115,0,morning,num_stops,56.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,88.0,20,77,0,morning,num_stops,88.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,25.0,21,Org,0,morning,num_stops,25.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,90.0,22,15,0,morning,num_stops,90.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,15.0,88,171,0,morning,num_stops,15.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,36.0,23,11,0,morning,num_stops,36.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,58.0,24,90,0,morning,num_stops,58.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,129.0,25,9,0,morning,num_stops,129.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,51.0,89,92,0,morning,num_stops,51.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,60.0,26,201,0,morning,num_stops,60.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,77.0,27,44,0,morning,num_stops,77.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,6.0,28,Y,0,morning,num_stops,6.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,86.0,29,22,0,morning,num_stops,86.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,70.0,31,55,0,morning,num_stops,70.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,90.0,32,50,0,morning,num_stops,90.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1183,63W,0,night,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1184,30,0,night,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,74.0,30,56,0,morning,num_stops,74.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,34.0,33,37,0,morning,num_stops,34.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,12.0,36,111A,0,morning,num_stops,12.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,75.0,37,24,0,morning,num_stops,75.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,33.0,38,Blue,0,morning,num_stops,33.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,19.0,96,130,0,morning,num_stops,19.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,102.0,97,29,0,morning,num_stops,102.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,38.0,34,68,0,morning,num_stops,38.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,73.0,524,59,0,weekend,num_stops,73.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,33.0,35,Red,0,morning,num_stops,33.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,92.0,525,87,0,weekend,num_stops,92.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,34.0,39,155,0,morning,num_stops,34.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,97.0,40,94,0,morning,num_stops,97.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,22.0,47,10,0,morning,num_stops,22.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,71.0,41,35,0,morning,num_stops,71.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,93.0,42,79,0,morning,num_stops,93.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,83.0,43,152,0,morning,num_stops,83.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1250,59,0,weekend,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,61.0,44,103,0,morning,num_stops,61.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,51.0,45,112,0,morning,num_stops,51.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,1251,87,0,weekend,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,74.0,46,72,0,morning,num_stops,74.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,73.0,48,59,0,morning,num_stops,73.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,92.0,49,87,0,morning,num_stops,92.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,75.0,50,21,0,morning,num_stops,75.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,74.0,51,76,0,morning,num_stops,74.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,32.0,54,43,0,morning,num_stops,32.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,42.0,52,85A,0,morning,num_stops,42.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,69.0,53,54,0,morning,num_stops,69.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,32.0,55,49B,0,morning,num_stops,32.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,34.0,58,57,0,morning,num_stops,34.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,88.0,59,80,0,morning,num_stops,88.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,85.0,56,65,0,morning,num_stops,85.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,79.0,57,71,0,morning,num_stops,79.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,26.0,60,106,0,morning,num_stops,26.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,42.0,61,62H,0,morning,num_stops,42.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,28.0,62,G,0,morning,num_stops,28.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,97.0,63,82,0,morning,num_stops,97.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,123.0,64,49,0,morning,num_stops,123.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,60.0,65,6,0,morning,num_stops,60.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,72.0,66,126,0,morning,num_stops,72.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,79.0,67,36,0,morning,num_stops,79.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,29.0,68,95W,0,morning,num_stops,29.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,33.0,69,J14,0,morning,num_stops,33.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,37.0,73,Pink,0,morning,num_stops,37.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,55.0,70,39,0,morning,num_stops,55.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,73.0,71,60,0,morning,num_stops,73.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,60.0,72,8A,0,morning,num_stops,60.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,12.0,156,111A,0,midday,num_stops,12.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,84.0,157,24,0,midday,num_stops,84.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,33.0,158,Blue,0,midday,num_stops,33.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,81.0,74,47,0,morning,num_stops,81.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,31.0,76,96,0,morning,num_stops,31.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,45.0,75,111,0,morning,num_stops,45.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,18.0,78,P,0,morning,num_stops,18.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,91.0,77,151,0,morning,num_stops,91.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,87.0,79,53,0,morning,num_stops,87.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,70.0,80,75,0,morning,num_stops,70.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,47.0,82,156,0,morning,num_stops,47.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,62.0,83,20,0,morning,num_stops,62.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,61.0,84,70,0,morning,num_stops,61.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,65.0,85,86,0,morning,num_stops,65.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,52.0,86,81,0,morning,num_stops,52.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,70.0,105,85,0,morning,num_stops,70.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,76.0,87,52A,0,morning,num_stops,76.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,14.0,106,172,0,morning,num_stops,14.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,54.0,90,18,0,morning,num_stops,54.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,22.0,91,55N,0,morning,num_stops,22.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,35.0,92,63W,0,morning,num_stops,35.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,105.0,93,30,0,morning,num_stops,105.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,73.0,94,7,0,morning,num_stops,73.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,9.0,115,120,0,midday,num_stops,9.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,66.0,95,97,0,morning,num_stops,66.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,75.0,98,63,0,morning,num_stops,75.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,107.0,99,3,0,morning,num_stops,107.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,44.0,104,95E,0,morning,num_stops,44.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,50.0,100,81W,0,morning,num_stops,50.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,69.0,101,74,0,morning,num_stops,69.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,69.0,102,91,0,morning,num_stops,69.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,112.0,103,52,0,morning,num_stops,112.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,54.0,107,28,0,morning,num_stops,54.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,50.0,108,119,0,morning,num_stops,50.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,56.0,109,157,0,morning,num_stops,56.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,54.0,110,146,0,morning,num_stops,54.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,18.0,123,124,0,midday,num_stops,18.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,45.0,124,84,0,midday,num_stops,45.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,51.0,111,205,0,midday,num_stops,51.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,57.0,112,34,0,midday,num_stops,57.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,88.0,113,67,0,midday,num_stops,88.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,49.0,127,54B,0,midday,num_stops,49.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,9.0,114,169,0,midday,num_stops,9.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,62.0,116,93,0,midday,num_stops,62.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,48.0,117,147,0,midday,num_stops,48.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,47.0,118,Brn,0,midday,num_stops,47.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,66.0,119,12,0,midday,num_stops,66.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,72.0,120,66,0,midday,num_stops,72.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,40.0,121,51,0,midday,num_stops,40.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,78.0,122,53A,0,midday,num_stops,78.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,11.0,128,170,0,midday,num_stops,11.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,72.0,129,78,0,midday,num_stops,72.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,111.0,125,8,0,midday,num_stops,111.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,6.0,145,Y,0,midday,num_stops,6.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,86.0,146,22,0,midday,num_stops,86.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,64.0,126,73,0,midday,num_stops,64.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,53.0,130,100,0,midday,num_stops,53.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,98.0,131,62,0,midday,num_stops,98.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,29.0,132,135,0,midday,num_stops,29.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,102.0,133,4,0,midday,num_stops,102.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,9.0,134,121,0,midday,num_stops,9.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,34.0,135,88,0,midday,num_stops,34.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,88.0,136,77,0,midday,num_stops,88.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,25.0,137,Org,0,midday,num_stops,25.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,90.0,138,15,0,midday,num_stops,90.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,36.0,139,11,0,midday,num_stops,36.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,58.0,140,90,0,midday,num_stops,58.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,136.0,141,9,0,midday,num_stops,136.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,17.0,377,132,0,night,num_stops,17.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,19.0,142,132,0,midday,num_stops,19.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,19.0,463,130,0,night,num_stops,19.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,102.0,464,29,0,night,num_stops,102.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,60.0,143,201,0,midday,num_stops,60.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,77.0,144,44,0,midday,num_stops,77.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,74.0,147,56,0,midday,num_stops,74.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,70.0,148,55,0,midday,num_stops,70.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,69.0,149,26,0,midday,num_stops,69.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,34.0,152,37,0,midday,num_stops,34.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,19.0,150,134,0,midday,num_stops,19.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,90.0,151,50,0,midday,num_stops,90.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,38.0,153,68,0,midday,num_stops,38.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,49.0,154,206,0,midday,num_stops,49.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,33.0,155,Red,0,midday,num_stops,33.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,34.0,159,155,0,midday,num_stops,34.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,97.0,160,94,0,midday,num_stops,97.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,5.0,162,192,0,midday,num_stops,5.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,71.0,161,35,0,midday,num_stops,71.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,22.0,168,10,0,midday,num_stops,22.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,95.0,163,79,0,midday,num_stops,95.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,83.0,164,152,0,midday,num_stops,83.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,61.0,165,103,0,midday,num_stops,61.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,51.0,166,112,0,midday,num_stops,51.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
route,False,Chicago,1.0,807,115,0,morning,num_routes,1.0,4dd05d5e-b859-4b04-bbfb-4b3bac872151
