service_id,date,exception_type
905A1593,20140901,2
889A1510,20140901,2
889A1510,20140418,2
905A1593,20140418,2
897A1510,20140120,2
908A1593,20140120,2
910A1593,20140418,1
892A1510,20140704,2
910A1593,20140901,1
893A1510,20140901,1
898A1510,20140704,2
892A1510,20140901,2
889A1510,20141127,2
898A1510,20140901,2
894A1510,20140526,2
897A1510,20140526,2
908A1593,20140526,2
897A1510,20140704,2
908A1593,20140704,2
905A1593,20141127,2
892A1510,20141127,2
910A1593,20141127,2
894A1510,20140101,2
893A1510,20140418,1
889A1510,20140120,2
893A1510,20140120,1
897A1510,20140101,2
892A1510,20140418,2
898A1510,20140418,2
907A1594,20131225,2
889A1510,20131225,2
906A1594,20131225,2
892A1510,20131225,2
907A1594,20140101,2
909A1594,20140101,1
893A1510,20140101,1
909A1594,20131225,2
894A1510,20140901,2
897A1510,20140901,2
908A1593,20140901,2
894A1510,20131225,2
897A1510,20131225,2
894A1510,20141127,2
897A1510,20141127,2
908A1593,20141127,2
894A1510,20140704,2
894A1510,20140120,2
897A1510,20140418,2
908A1593,20140418,2
894A1510,20140418,2
893A1510,20141127,2
910A1593,20140120,1
889A1510,20140101,2
905A1593,20140526,2
889A1510,20140704,2
905A1593,20140704,2
910A1593,20140704,1
892A1510,20140526,2
898A1510,20140526,2
889A1510,20140526,2
898A1510,20141127,2
905A1593,20140120,2
893A1510,20131225,2
898A1510,20131225,2
892A1510,20140120,2
906A1594,20140101,2
892A1510,20140101,2
893A1510,20140704,1
910A1593,20140526,1
893A1510,20140526,1
898A1510,20140101,2
898A1510,20140120,2
