trip_id,start_time,end_time,headway_secs,exact_times
42339A908B1593,07:05:00,18:40:00,1800,1
43253A909B1594,09:00:00,18:05:00,3600,1
42349A909B1594,09:40:00,18:45:00,3600,1
42483A907B1594,07:40:00,17:45:00,3600,1
42342A909B1594,09:00:00,17:50:00,4500,1
42246A907B1594,06:30:00,19:05:00,4500,1
42346A912B1594,21:00:00,24:05:00,3600,1
42345A907B1594,07:00:00,20:05:00,3600,1
42347A907B1594,07:30:00,17:35:00,3600,1
43233A908B1593,10:00:00,18:05:00,1800,1
43283A908B1593,07:00:00,20:05:00,3600,1
42339A908B1593,19:35:00,22:40:00,3600,1
42350A889B1510,07:00:00,18:05:00,3600,1
42484A889B1510,05:30:00,19:05:00,5400,1
42486A907B1594,07:35:00,19:40:00,3600,1
42487A909B1594,09:35:00,18:40:00,3600,1
42488A907B1594,07:00:00,18:05:00,3600,1
42656A909B1594,09:00:00,18:05:00,3600,1
42528A907B1594,19:00:00,22:05:00,3600,1
42665A907B1594,10:30:00,17:35:00,3600,1
42666A909B1594,11:30:00,17:35:00,3600,1
42668A908B1593,07:15:00,18:20:00,3600,1
42669A909B1594,09:30:00,17:35:00,3600,1
42672A893B1510,09:00:00,18:05:00,3600,1
43252A889B1510,07:00:00,21:05:00,3600,1
42676A889B1510,07:30:00,18:35:00,3600,1
42679A907B1594,07:00:00,19:05:00,3600,1
42680A909B1594,09:00:00,18:05:00,3600,1
42682A907B1594,07:20:00,18:20:00,3600,1
43210A907B1594,07:30:00,18:35:00,3600,1
43285A913B1593,21:00:00,24:05:00,3600,1
43216A907B1594,07:30:00,18:35:00,3600,1
43228A908B1593,07:05:00,19:10:00,3600,1
43219A907B1594,19:40:00,21:45:00,3600,1
43222A907B1594,07:00:00,19:05:00,3600,1
43223A907B1594,07:20:00,18:25:00,3600,1
43280A908B1593,07:30:00,17:35:00,3600,1
43278A908B1593,07:00:00,19:05:00,3600,1
43231A910B1593,09:40:00,18:45:00,3600,1
43232A910B1593,10:05:00,18:10:00,3600,1
43233A908B1593,07:00:00,09:05:00,3600,1
43236A910B1593,09:00:00,18:05:00,3600,1
43235A908B1593,19:00:00,22:05:00,3600,1
43237A910B1593,11:30:00,17:35:00,3600,1
43239A910B1593,09:15:00,17:20:00,3600,1
43241A910B1593,09:00:00,18:05:00,3600,1
43284A910B1593,09:00:00,18:05:00,3600,1
43279A908B1593,07:30:00,18:35:00,3600,1
42344A908B1593,07:20:00,18:25:00,3600,1
43288A908B1593,07:30:00,17:35:00,3600,1
