trip_id,arrival_time,departure_time,stop_id,stop_sequence,pickup_type,drop_off_type
AIR_402_V5,05:16:26,05:21:53,90401,1,0,0
AIR_402_V5,05:21:44,05:17:52,90402,2,0,0
AIR_402_V5,05:12:15,05:21:33,90403,3,0,0
AIR_402_V5,05:17:16,05:25:11,90404,4,0,0
AIR_402_V5,05:21:41,05:21:40,90405,7,0,0
AIR_402_V5,05:31:31,05:28:45,90406,13,0,0
AIR_402_V6,05:15:37,05:19:32,90401,1,0,0
AIR_402_V6,05:17:19,05:15:16,90402,2,0,0
AIR_402_V6,05:22:39,05:13:06,90403,3,0,0
AIR_402_V6,05:27:35,05:24:06,90404,4,0,0
AIR_402_V6,05:31:36,05:29:41,90405,7,0,0
AIR_402_V6,05:31:19,05:31:52,90406,13,0,0
AIR_402_V7,05:13:53,05:13:19,90401,1,0,0
AIR_402_V7,05:19:02,05:19:59,90402,2,0,0
AIR_402_V7,05:16:39,05:24:54,90403,3,0,0
AIR_402_V7,05:15:58,05:17:42,90404,4,0,0
AIR_402_V7,05:31:39,05:17:10,90405,7,0,0
AIR_402_V7,05:34:28,05:29:20,90406,13,0,0
AIR_404_V5,06:17:49,06:21:43,90401,1,0,0
AIR_404_V5,06:18:28,06:24:43,90402,2,0,0
AIR_404_V5,06:13:42,06:26:20,90403,3,0,0
AIR_404_V5,06:24:11,06:21:37,90404,4,0,0
AIR_404_V5,06:23:22,06:30:07,90405,7,0,0
AIR_404_V5,06:37:31,06:27:57,90406,13,0,0
AIR_406_V6,06:51:56,06:48:44,90401,1,0,0
AIR_406_V6,06:47:36,06:55:34,90402,2,0,0
AIR_406_V6,06:56:35,06:48:16,90403,3,0,0
AIR_406_V6,06:56:51,06:46:08,90404,4,0,0
AIR_406_V6,06:53:19,07:00:01,90405,7,0,0
AIR_406_V6,07:00:41,07:00:37,90406,13,0,0
AIR_406_V7,06:46:28,06:42:33,90401,1,0,0
AIR_406_V7,06:46:03,06:43:55,90402,2,0,0
AIR_406_V7,06:45:28,06:50:49,90403,3,0,0
AIR_406_V7,06:51:53,06:52:32,90404,4,0,0
AIR_406_V7,06:52:49,06:53:45,90405,7,0,0
AIR_406_V7,06:58:32,06:58:53,90406,13,0,0
AIR_410_V6,07:40:13,07:39:12,90401,1,0,0
