route_id,route_short_name,route_long_name,route_desc,agency_id,route_type,route_color,route_text_color,route_url
AIR,Airport Line,Airport Line,,SEPTA,2,91456C,FFFFFF,http://www.septa.org/schedules/rail/index.html
CHE,Chestnut Hill East Line,Chestnut Hill East Line,,SEPTA,2,94763C,FFFFFF,http://www.septa.org/schedules/rail/index.html
CHW,Chestnut Hill West Line,Chestnut Hill West Line,,SEPTA,2,00B4B2,FFFFFF,http://www.septa.org/schedules/rail/index.html
LAN,Lansdale/Doylestown Line,Lansdale/Doylestown Line,,SEPTA,2,775B49,FFFFFF,http://www.septa.org/schedules/rail/index.html
MED,Media/Elwyn Line,Media/Elwyn Line,,SEPTA,2,007CC8,FFFFFF,http://www.septa.org/schedules/rail/index.html
FOX,Fox Chase Line,Fox Chase Line,,SEPTA,2,FF823D,FFFFFF,http://www.septa.org/schedules/rail/index.html
GLN, Glenside Combined,Glenside Combined,,SEPTA,2,9996D7,FFFFFF,http://www.septa.org/schedules/rail/index.html
NOR,Manayunk/Norristown Line,Manayunk/Norristown Line,,SEPTA,2,EE4C69,FFFFFF,http://www.septa.org/schedules/rail/index.html
PAO,Paoli/Thorndale Line,Paoli/Thorndale Line,,SEPTA,2,20825C,FFFFFF,http://www.septa.org/schedules/rail/index.html
CYN,Cynwyd Line,Cynwyd Line,,SEPTA,2,6F549E,FFFFFF,http://www.septa.org/schedules/rail/index.html
TRE,Trenton Line,Trenton Line,,SEPTA,2,F683C9,FFFFFF,http://www.septa.org/schedules/rail/index.html
WAR,Warminster Line,Warminster Line,,SEPTA,2,F7AF42,FFFFFF,http://www.septa.org/schedules/rail/index.html
WIL,Wilmington/Newark Line,Wilmington/Newark Line,,SEPTA,2,8AD16B,FFFFFF,http://www.septa.org/schedules/rail/index.html
WTR,West Trenton Line,West Trenton Line,,SEPTA,2,5D5EBC,FFFFFF,http://www.septa.org/schedules/rail/index.html
