stop_id,stop_name, stop_desc, stop_lat, stop_lon, zone_id
90001,Cynwyd,Cynwyd Line,40.0066667,-75.2316667,2
90002,Bala,Cynwyd Line,40.0011111,-75.2277778,2
90003,Wynnefield Avenue,Cynwyd Line,39.99,-75.2255556,1
90004,30th Street Station,All Regional Rail Lines,39.9566667,-75.1816667,C
90005,Suburban Station,All Regional Rail Lines,39.9538889,-75.1677778,C
90006,Market East,All Regional Rail Lines,39.9525,-75.1580556,C
90007,Temple University,All Regional Rail Lines,39.9813889,-75.1494444,C
90008,North Broad,Multiple Lines,39.9922222,-75.1538889,1
90009,Wayne Junction,Multiple Lines,40.0222222,-75.16,1
90201,Newark,Wilmington Newark Line,39.6705556,-75.7527778,4
90202,Churchman's Crossing,Wilmington Newark Line,39.695,-75.6725,4
90203,Wilmington,Wilmington Newark Line,39.7372222,-75.5511111,4
90204,Claymont,Wilmington Newark Line,39.7977778,-75.4522222,4
90205,Marcus Hook,Wilmington Newark Line,39.8216667,-75.4194444,3
90206,Highland Avenue,Wilmington Newark Line,39.8336111,-75.3933333,3
90207,Chester,Wilmington Newark Line,39.8497222,-75.36,3
90208,Eddystone,Wilmington Newark Line,39.8572222,-75.3422222,3
90209,Crum Lynne,Wilmington Newark Line,39.8719444,-75.3311111,3
90210,Ridley Park,Wilmington Newark Line,39.8805556,-75.3222222,3
90211,Prospect Park - Moore,Wilmington Newark Line,39.8883333,-75.3088889,2
90212,Norwood,Wilmington Newark Line,39.8916667,-75.3016667,2
90213,Glenolden,Wilmington Newark Line,39.8963889,-75.29,2
90214,Folcroft,Wilmington Newark Line,39.9005556,-75.2797222,2
90215,Sharon Hill,Wilmington Newark Line,39.9044444,-75.2708333,2
90216,Curtis Park,Wilmington Newark Line,39.9080556,-75.265,2
90217,Darby,Wilmington Newark Line,39.9130556,-75.2544444,2
90218,Allegheny,Manayunk Norristown Line,40.0036111,-75.1647222,1
90219,East Falls,Manayunk Norristown Line,40.0113889,-75.1919444,1
90220,Wissahickon,Manayunk Norristown Line,40.0166667,-75.2102778,2
90221,Manayunk,Manayunk Norristown Line,40.0269444,-75.225,2
90222,Ivy Ridge,Manayunk Norristown Line,40.0341667,-75.2355556,2
90223,Miquon,Manayunk Norristown Line,40.0586111,-75.2663889,2
90224,Spring Mill,Manayunk Norristown Line,40.0741667,-75.2861111,3
90225,Conshohocken,Manayunk Norristown Line,40.0722222,-75.3086111,3
90226,Norristown T.C.,Manayunk Norristown Line,40.1127778,-75.3441667,3
90227,Main Street,Manayunk Norristown Line,40.1172222,-75.3486111,3
90228,Norristown,Manayunk Norristown Line,40.1202778,-75.3475,3
90301,Elwyn,Media Elwyn Line,39.9075,-75.4116667,3
90302,Media,Media Elwyn Line,39.9144444,-75.395,3
90303,Moylan-Rose Valley,Media Elwyn Line,39.9061111,-75.3886111,3
90304,Wallingford,Media Elwyn Line,39.9036111,-75.3719444,3
90305,Swarthmore,Media Elwyn Line,39.9022222,-75.3508333,3
90306,Morton-Rutledge,Media Elwyn Line,39.9077778,-75.3288889,2
90307,Secane,Media Elwyn Line,39.9158333,-75.3097222,2
90308,Primos,Media Elwyn Line,39.9216667,-75.2983333,2
90309,Clifton-Aldan,Media Elwyn Line,39.9266667,-75.2902778,2
90310,Gladstone,Media Elwyn Line,39.9327778,-75.2822222,2
90311,Lansdowne,Media Elwyn Line,39.9375,-75.2708333,2
90312,Fernwood-Yeadon,Media Elwyn Line,39.9397222,-75.2558333,2
90313,Angora,Media Elwyn Line,39.9447222,-75.2386111,1
